,index,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,리뷰
0,0,영업,234748466,77.35,135859.0,서울특별시 강남구 도곡동 942-9 ,서울특별시 강남구 강남대로58길 19 1층 (도곡동),6259.0,고래똥,20210600000000.0,U,2021-06-05 2:40,한식,202908.5511,443054.6911,한식,1035640949,"[11, 5, 2, '0', '0', 2, '0', '0', 8, '0', 1, '0', '0', '0', '0']"
1,1,영업,,26.3,135863.0,서울특별시 강남구 삼성동 4-4,서울특별시 강남구 선릉로130길 57 지상1층 28호29호 (삼성동),6089.0,비앙57 Bien57,20220500000000.0,U,2021-12-04 23:08,패밀리레스트랑,204014.0186,446143.4751,,1502239385,"[53, 60, 1, 1, 4, 29, 62, 6, 37, 3, 3, '0', 1, 38, 11]"
2,2,영업,,75.75,135860.0,서울특별시 강남구 도곡동 944번지 ,서울특별시 강남구 도곡로4길 9 2층 (도곡동),6259.0,원할매 이모네 닭한마리,20160300000000.0,I,2018-08-31 23:59,한식,202897.2416,443023.6629,한식,38325046,"[57, 15, 17, 12, 5, '0', '0', '0', 5, 2, '0', '0', 1, 13, 2]"
3,3,영업,,118.56,135884.0,서울특별시 강남구 수서동 714-6 나성빌딩 ,서울특별시 강남구 광평로51길 6-5 나성빌딩 1층 (수서동),6349.0,하남돼지집 수서역점,20201100000000.0,I,2020-11-19 0:23,한식,209018.8701,442913.3832,한식,37370482,"[101, 36, 10, 9, 2, 11, 1, '0', 6, 6, '0', '0', '0', 18, 18]"
4,4,영업,,120.5,135913.0,서울특별시 강남구 역삼동 659-10번지 ,서울특별시 강남구 논현로102길 3 1층 (역삼동),6136.0,미누야,20180600000000.0,I,2018-08-31 23:59,한식,203066.5448,444751.6364,한식,37454753,"[7, 4, 2, '0', 1, 1, '0', '0', 1, '0', 1, '0', 1, '0', 1]"
5,5,영업,02  815 9081,106.64,135815.0,서울특별시 강남구 논현동 33-7 CNA 사옥 ,서울특별시 강남구 논현로139길 8 CNA 사옥 1층 (논현동),6041.0,더플레이트,20210200000000.0,I,2021-02-03 0:23,경양식,202464.841,446050.6148,경양식,13517177,"[60, 13, 1, 12, 1, 8, 14, 11, 17, 4, 3, '0', 2, 10, 4]"
6,6,영업,02  514 3347,36.5,135888.0,서울특별시 강남구 신사동 516-9번지 ,서울특별시 강남구 도산대로11길 21 지하1층 (신사동),6035.0,밀떡 팩토리,20190800000000.0,I,2019-08-28 2:22,분식,201893.8897,446287.1485,분식,1140676135,"[77, 21, 10, 14, 7, 6, 4, '0', 10, '0', 1, '0', 2, 13, 1]"
7,7,영업,,37.8,135839.0,서울특별시 강남구 대치동 889-56번지 ,서울특별시 강남구 테헤란로64길 14 1층 105호 (대치동),6192.0,즐춤그대,20170400000000.0,I,2018-08-31 23:59,기타,204443.7796,444649.6866,기타,696505519,"[1, 3, 3, '0', '0', '0', 2, '0', '0', '0', '0', '0', '0', '0', '0']"
8,10,영업,,36.3,135516.0,서울특별시 강남구 일원동 680-3번지 지상1층 ,서울특별시 강남구 양재대로35길 5 (일원동지상1층),6343.0,자주포차,20131100000000.0,I,2018-08-31 23:59,일식,207309.2858,443095.1172,일식,33770961,"[10, 2, 8, '0', '0', '0', '0', '0', 1, '0', 2, '0', '0', '0', '0']"
9,16,영업,,66.12,135822.0,서울특별시 강남구 논현동 139-24 ,서울특별시 강남구 강남대로128길 38 지상1층 101호 (논현동),6113.0,육칠팔 딜리버리,20201000000000.0,U,2020-10-24 2:40,한식,202155.0681,445388.5834,한식,1192293819,"[3, '0', '0', '0', '0', '0', '0', 1, '0', '0', '0', '0', '0', '0', '0']"
