,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,검색명,업소URL,대표메뉴,가격정보,메뉴라벨링,외식비
0,영업,02 8449793,57.0,156853,서울특별시 동작구 신대방동 644-9 ,서울특별시 동작구 신대방2길 2-9 1층 (신대방동),7067.0,가성비,20200000000000.0,U,2022-02-19 2:40,한식,192242.1295,442857.2556,한식,동작구 신대방동가성비,18764082,육회비빔밥,9500원,비빔밥,9654
1,영업,02 8449793,57.0,156853,서울특별시 동작구 신대방동 644-9 ,서울특별시 동작구 신대방2길 2-9 1층 (신대방동),7067.0,가성비,20200000000000.0,U,2022-02-19 2:40,한식,192242.1295,442857.2556,한식,동작구 신대방동가성비,18764082,육회비빔밥,9500원,비빔밥,9654
2,영업,02 8154725,94.82,156861,서울특별시 동작구 흑석동 184-19번지 ,서울특별시 동작구 흑석로 101-7 (흑석동),6910.0,거구장,20200000000000.0,U,2020-01-25 2:40,한식,196460.3214,445092.9987,한식,동작구 흑석동거구장,18714831,물냉면,8000원,냉면,10423
3,영업,02 8154725,94.82,156861,서울특별시 동작구 흑석동 184-19번지 ,서울특별시 동작구 흑석로 101-7 (흑석동),6910.0,거구장,20200000000000.0,U,2020-01-25 2:40,한식,196460.3214,445092.9987,한식,동작구 흑석동거구장,18714831,물냉면,8000원,냉면,10423
4,영업,02 8348922,105.0,156849,서울특별시 동작구 신대방동 395-66 117호 118호 ,서울특별시 동작구 보라매로5길 43 (신대방동117호 118호),,궁중삼계탕,20200000000000.0,U,2020-12-03 2:40,한식,193153.177,443251.1214,한식,동작구 신대방동궁중삼계탕,18744647,한방삼계탕,"16,000원",삼계탕,15385
5,영업,02 8213275,38.23,156030,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트 ,서울특별시 동작구 상도로30길 40 1층 120호 (상도동 상도2차두산위브트레지움아파트),6964.0,김가네김밥,20200000000000.0,U,2020-10-24 2:40,한식,194870.3844,444631.1127,한식,동작구 상도동김가네김밥,1712090053,김가네김밥,변동,김밥,2969
6,영업,02 8248464,23.7,156811,서울특별시 동작구 대방동 415-6번지 ,서울특별시 동작구 여의대방로24가길 10 (대방동),7055.0,김가보쌈,20100000000000.0,I,2018-08-31 23:59,한식,192948.3445,444055.1439,한식,동작구 대방동김가보쌈,20853499,김치찌개,"5,000원",김치찌개백반,7423
7,영업,02 8248464,23.7,156811,서울특별시 동작구 대방동 415-6번지 ,서울특별시 동작구 여의대방로24가길 10 (대방동),7055.0,김가보쌈,20100000000000.0,I,2018-08-31 23:59,한식,192948.3445,444055.1439,한식,동작구 대방동김가보쌈,20853499,김치찌개,"5,000원",김치찌개백반,7423
8,영업,8133838,23.2,156843,서울특별시 동작구 상도동 250-16 ,서울특별시 동작구 성대로5길 2 (상도동),6960.0,김밥이맛있는집,20200000000000.0,U,2021-12-09 2:40,김밥(도시락),194027.1309,444137.2806,김밥(도시락),동작구 상도동김밥이맛있는집,18696397,소문난김밥,"2,000원",김밥,2969
9,영업,02 8159795,44.17,156801,서울특별시 동작구 노량진동 123-10 ,서울특별시 동작구 만양로14길 4 (노량진동),6914.0,꿀꾸랄라,20200000000000.0,U,2021-11-18 2:40,한식,195045.6957,445452.0522,한식,동작구 노량진동꿀꾸랄라,30808641,삼겹살(180g),"6,000원",삼겹살,18056
