,index,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,리뷰
0,0,영업,02  32800101,76.0,156800,서울특별시 동작구 노량진동 16-1 노량진 드림스퀘어 복합빌딩 ,서울특별시 동작구 노들로2길 7 노량진 드림스퀘어 복합빌딩 A동 2층 205호 (노량진동),6900.0,중국성,20210800000000.0,I,2021-09-01 0:22,중국식,194571.1524,445790.5499,중국식,1823318818,"[30, 8, 8, 7, 5, 6, 2, '0', 5, '0', 1, '0', '0', 11, 2]"
1,1,영업,02 5239733,48.66,156824,서울특별시 동작구 사당동 1007-38 ,서울특별시 동작구 동작대로23길 3 2층 (사당동),7013.0,향원칼국수,20220100000000.0,U,2022-01-16 2:40,분식,198296.8699,442450.2798,분식,1406327960,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
2,2,영업,,33.0,156847,서울특별시 동작구 신대방동 342-31 성진빌딩 ,서울특별시 동작구 보라매로 78 성진빌딩 1층 (신대방동),7053.0,BBQ동작국사봉점,20210300000000.0,I,2021-03-18 0:22,호프/통닭,193559.8778,443804.0161,호프/통닭,1598959420,"[21, 15, 2, 3, '0', 5, 1, 1, 2, '0', 1, '0', '0', 3, '0']"
3,3,영업,02 8135094,26.52,156832,서울특별시 동작구 상도동 179-7번지 ,서울특별시 동작구 장승배기로10길 18 (상도동),6963.0,썬스타,20161200000000.0,I,2018-08-31 23:59,호프/통닭,194631.0852,444711.1604,호프/통닭,13154719,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
4,4,영업,02 8482199,40.75,156704,서울특별시 동작구 신대방동 565 우성아파트 ,서울특별시 동작구 여의대방로 22 지하1층 (신대방동 우성아파트),7065.0,섬마을일식식당,20211000000000.0,U,2021-10-28 2:40,일식,192113.2006,443344.3735,일식,34402587,"[29, 6, 9, 1, 4, 2, '0', 1, 2, 5, '0', '0', '0', 12, '0']"
5,5,영업,02  812 6088,168.26,156832,서울특별시 동작구 상도동 369-6번지 ,서울특별시 동작구 장승배기로10길 9 2층 (상도동),6963.0,시골집 백반,20200400000000.0,U,2020-04-30 2:40,한식,194604.5176,444709.6999,한식,1468128579,"[17, 6, 7, 2, 2, '0', '0', '0', '0', '0', 1, '0', '0', 1, 1]"
6,6,영업,02 8132425,21.0,156811,서울특별시 동작구 대방동 502 현대상가 103동 101호,서울특별시 동작구 등용로 127 (대방동),6940.0,이도령치킨호프,20201100000000.0,U,2020-12-02 2:40,호프/통닭,193810.0128,445610.1607,호프/통닭,1342912862,"[5, 1, 7, '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']"
7,7,영업,,28.96,156030,서울특별시 동작구 상도동 317-1 ,서울특별시 동작구 국사봉1길 52 (상도동),7042.0,정송숙 12년전통 오렌지김밥,20201000000000.0,U,2020-10-30 2:40,분식,193842.4207,444096.0314,분식,19021615,"[93, 28, 30, 21, 33, 2, 1, 1, 6, '0', 1, '0', 2, 15, '0']"
8,8,영업,02 5961126,98.01,156816,서울특별시 동작구 사당동 139-36 1층 ,서울특별시 동작구 동작대로27길 22 1층 (사당동),7008.0,리얼 양꼬치,20211000000000.0,U,2021-10-07 2:40,중국식,198218.1575,442833.7566,중국식,38570860,"[58, 17, 10, 3, '0', 3, 1, 2, 7, 6, 2, '0', '0', 10, 4]"
9,9,영업,8134836,46.84,156030,서울특별시 동작구 상도동 503-4 ,서울특별시 동작구 상도로61길 26 (상도동),7027.0,고기마을,20201200000000.0,U,2020-12-12 2:40,한식,196055.8087,443635.8807,한식,11663120,"[280, 57, 20, 35, 13, 59, 11, 16, 34, 31, 7, '0', 1, 61, 59]"
10,10,영업,02 8244636,102.0,156843,서울특별시 동작구 상도동 248-2 ,서울특별시 동작구 성대로1길 6 1층 (상도동),6959.0,기절초풍 물닭갈비,20201100000000.0,U,2020-11-21 2:40,한식,193993.0335,444241.663,한식,13156205,"[90, 36, 16, 13, '0', 8, 1, 1, 12, 8, 2, '0', 1, 11, 13]"
11,12,영업,02 8179686,28.0,156808,서울특별시 동작구 대방동 335-15 ,서울특별시 동작구 상도로 77 (대방동),6953.0,바지락손칼국수,20211200000000.0,U,2021-12-14 2:40,한식,193671.3734,444190.6705,한식,38276241,"[464, 123, 106, 189, 75, 32, 10, 1, 25, 5, 3, '0', 3, 121, 6]"
12,13,영업,,39.3,156821,서울특별시 동작구 사당동 267-21번지 ,서울특별시 동작구 사당로16나길 22 1층 (사당동),7010.0,명인치킨,20190700000000.0,I,2019-08-01 2:21,호프/통닭,197458.4323,442323.1272,호프/통닭,1961954308,"[47, 18, 27, 9, 1, 2, '0', 1, 2, 1, '0', '0', '0', 4, 2]"
