,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,검색명,업소URL,대표메뉴,가격정보,메뉴라벨링,외식비
0,영업,02 3639289,98.04,120809,서울특별시 서대문구 대현동 90-15번지 ,서울특별시 서대문구 이화여대3길 29 (대현동),3766.0,돈노코돈먹기,20181200000000.0,U,40:00.0,한식,194984.6264,450620.4562,한식,서대문구 대현동 돈노코돈먹기,20840271,냉동삼겹살,"7,000원",삼겹살,18056
1,영업,,66.0,120857,서울특별시 서대문구 홍제동 245-8번지 1층 ,서울특별시 서대문구 세무서길 59 1층 (홍제동),3624.0,동네고기,20180300000000.0,I,59:59.0,한식,195182.6309,454256.7989,한식,서대문구 홍제동 동네고기,1973101825,삼겹살(180g),"14,000원",삼겹살,18056
2,영업,02 3960213,51.0,120857,서울특별시 서대문구 홍제동 250-2 1층,서울특별시 서대문구 세무서길 23 1층 (홍제동),3629.0,식껍 홍제역점,20220700000000.0,I,07:00.0,한식,195106.4326,454082.5725,,서대문구 홍제동 식껍 홍제역점,1839639019,삼겹살,14000,삼겹살,18056
3,영업,02  337 8203,42.39,120827,서울특별시 서대문구 연희동 702-13 1층(105호) ,서울특별시 서대문구 증가로 84 1층 105호 (연희동),3695.0,마포갈비,20220200000000.0,U,40:00.0,한식,193489.6836,452522.4531,한식,서대문구 연희동 마포갈비,1020816892,삼겹살,12000,삼겹살,18056
4,영업,,56.53,120100,서울특별시 서대문구 홍은동 48-195,서울특별시 서대문구 세검정로 13 2층 (홍은동),3616.0,99냉삼집,20220600000000.0,I,02:00.0,한식,194881.484,454422.6683,,서대문구 홍은동 99냉삼집,1976953286,급랭삼겹살,"9,900원",삼겹살,18056
5,영업,02  303 2191,49.5,120800,서울특별시 서대문구 남가좌동 7-7번지 ,서울특별시 서대문구 명지대길 60 (남가좌동),3675.0,삼삼이네 남가좌점,20131200000000.0,I,59:59.0,한식,193189.5821,453382.48,한식,서대문구 남가좌동 삼삼이네 남가좌점,32045603,삼겹살,7500,삼겹살,18056
6,영업,02  392 9993,145.0,120833,서울특별시 서대문구 창천동 4-77번지 ,서울특별시 서대문구 신촌역로 43 지상2층 (창천동),3777.0,돈노코돈먹기,20180700000000.0,I,59:59.0,한식,194691.7123,450741.7231,한식,서대문구 창천동 돈노코돈먹기,20840271,냉동삼겹살,"7,000원",삼겹살,18056
7,영업,02  337 9229,203.49,120834,서울특별시 서대문구 창천동 53-79 (지상1층) ,서울특별시 서대문구 연세로11길 35 (창천동(지상1층)),3787.0,돈이면 돼지,20200700000000.0,U,40:00.0,한식,194165.4433,450735.3434,한식,서대문구 창천동 돈이면 돼지,1823536894,벌집숙성삼겹살,"5,900원",삼겹살,18056
8,영업,,44.65,120050,서울특별시 서대문구 냉천동 233,서울특별시 서대문구 통일로9길 4 1층 (냉천동),3735.0,남도정가,20220400000000.0,I,07:00.0,한식,196810.9491,451677.2344,,서대문구 냉천동 남도정가,1122937649,급속 냉동 삼겹살,"13,000원",삼겹살,18056
9,영업,02  309 3446,53.82,120806,서울특별시 서대문구 남가좌동 324-17번지 지상1층 ,서울특별시 서대문구 거북골로 25-6 (남가좌동지상1층),3665.0,돼지주막,20091200000000.0,I,59:59.0,한식,193287.1093,453045.733,한식,서대문구 남가좌동 돼지주막,1577370188,마약삼겹살,14000,삼겹살,18056
