,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점
0,영업,234748466,77.35,135859.0,서울특별시 강남구 도곡동 942-9 ,서울특별시 강남구 강남대로58길 19 1층 (도곡동),6259.0,고래똥,20210600000000.0,U,2021-06-05 2:40,한식,202908.5511,443054.6911,한식,1035640949,4.72
1,영업,,26.3,135863.0,서울특별시 강남구 삼성동 4-4,서울특별시 강남구 선릉로130길 57 지상1층 28호29호 (삼성동),6089.0,비앙57 Bien57,20220500000000.0,U,2021-12-04 23:08,패밀리레스트랑,204014.0186,446143.4751,,1502239385,4.96
2,영업,,75.75,135860.0,서울특별시 강남구 도곡동 944번지 ,서울특별시 강남구 도곡로4길 9 2층 (도곡동),6259.0,원할매 이모네 닭한마리,20160300000000.0,I,2018-08-31 23:59,한식,202897.2416,443023.6629,한식,38325046,4.34
3,영업,,118.56,135884.0,서울특별시 강남구 수서동 714-6 나성빌딩 ,서울특별시 강남구 광평로51길 6-5 나성빌딩 1층 (수서동),6349.0,하남돼지집 수서역점,20201100000000.0,I,2020-11-19 0:23,한식,209018.8701,442913.3832,한식,37370482,4.23
4,영업,,120.5,135913.0,서울특별시 강남구 역삼동 659-10번지 ,서울특별시 강남구 논현로102길 3 1층 (역삼동),6136.0,미누야,20180600000000.0,I,2018-08-31 23:59,한식,203066.5448,444751.6364,한식,37454753,4.09
5,영업,02  815 9081,106.64,135815.0,서울특별시 강남구 논현동 33-7 CNA 사옥 ,서울특별시 강남구 논현로139길 8 CNA 사옥 1층 (논현동),6041.0,더플레이트,20210200000000.0,I,2021-02-03 0:23,경양식,202464.841,446050.6148,경양식,13517177,4.27
6,영업,02  514 3347,36.5,135888.0,서울특별시 강남구 신사동 516-9번지 ,서울특별시 강남구 도산대로11길 21 지하1층 (신사동),6035.0,밀떡 팩토리,20190800000000.0,I,2019-08-28 2:22,분식,201893.8897,446287.1485,분식,1140676135,4.36
7,영업,,37.8,135839.0,서울특별시 강남구 대치동 889-56번지 ,서울특별시 강남구 테헤란로64길 14 1층 105호 (대치동),6192.0,즐춤그대,20170400000000.0,I,2018-08-31 23:59,기타,204443.7796,444649.6866,기타,696505519,4.33
8,영업,,150.0,135964.0,서울특별시 강남구 개포동 1230-0번지 지상1층 ,서울특별시 강남구 논현로16길 11 (개포동지상1층),6307.0,청해전복궁,20180800000000.0,I,2018-08-31 23:59,한식,204109.6585,441599.6609,한식,-,-
9,영업,,58.4,135961.0,서울특별시 강남구 개포동 1173번지 ,서울특별시 강남구 논현로6길 26 지하1층 (개포동),6314.0,프레스 임프레스(Press Impress),20190800000000.0,U,2019-08-07 2:40,기타,204488.3181,441301.2387,기타,-,-
10,영업,,36.3,135516.0,서울특별시 강남구 일원동 680-3번지 지상1층 ,서울특별시 강남구 양재대로35길 5 (일원동지상1층),6343.0,자주포차,20131100000000.0,I,2018-08-31 23:59,일식,207309.2858,443095.1172,일식,33770961,4.63
11,영업,02 5749875,54.59,135270.0,서울특별시 강남구 도곡동 146-92번지 ,서울특별시 강남구 언주로 211 (도곡동),6273.0,동촌식품(주),19990600000000.0,I,2018-08-31 23:59,한식,204044.9151,443372.9217,한식,-,-
12,영업,,758.0,135710.0,서울특별시 강남구 일원동 50 삼성의료원본관 지하1층 ,서울특별시 강남구 일원로 81 지하1층 (일원동 삼성의료원본관),6351.0,삼성웰스토리(주)델라코트일원점,20210500000000.0,U,2021-05-28 2:40,중국식,207534.4946,442943.8604,중국식,-,-
13,영업,02  511 7411,79.2,135895.0,서울특별시 강남구 신사동 624-19 ,서울특별시 강남구 언주로165길 7-10 지상1층 (신사동),6023.0,주식회사 코마츠,20211200000000.0,U,2022-01-01 2:40,한식,202781.8288,446998.1612,한식,-,-
14,영업,,173.06,135897.0,서울특별시 강남구 신사동 662-11 ,서울특별시 강남구 언주로172길 59 지하1층 (신사동),6018.0,에스(S) 보드카페,20201000000000.0,U,2020-10-22 2:40,한식,203347.4321,447194.4408,한식,-,-
15,영업,02  518 6998,374.18,135818.0,서울특별시 강남구 논현동 83-17번지 ,서울특별시 강남구 학동로37길 17 지상1층2층 (논현동),6053.0,국민고기냉면연구소(논현점),20171100000000.0,I,2018-08-31 23:59,한식,202959.5007,446022.7356,한식,-,-
16,영업,,66.12,135822.0,서울특별시 강남구 논현동 139-24 ,서울특별시 강남구 강남대로128길 38 지상1층 101호 (논현동),6113.0,육칠팔 딜리버리,20201000000000.0,U,2020-10-24 2:40,한식,202155.0681,445388.5834,한식,1192293819,-
17,영업,,60.4,135824.0,서울특별시 강남구 논현동 133-26 ,서울특별시 강남구 학동로20길 31 102호 (논현동),6115.0,빙츄르,20210300000000.0,I,2021-03-12 0:23,한식,202428.8439,445452.7344,한식,1275603832,4.83
18,영업,,279.98,135857.0,서울특별시 강남구 도곡동 543-1 ,서울특별시 강남구 도곡로 206 지하1층 (도곡동),6272.0,(주)커피빈코리아 도곡동지오빌딩점,20210800000000.0,U,2021-08-21 2:40,기타,203615.8067,443338.2218,기타,-,-
19,영업,02  511 0178,29.7,135897.0,서울특별시 강남구 신사동 662-17번지 1층 ,서울특별시 강남구 언주로172길 65 (신사동1층),6018.0,카페드미욜,20110500000000.0,I,2018-08-31 23:59,패스트푸드,203385.2472,447184.0986,패스트푸드,-,-
