영업상태명,상세영업상태코드,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점
영업/정상,1,영업,02 3754388,49.01,120805.0,서울특별시 서대문구 남가좌동 295-5,서울특별시 서대문구 수색로 42 (남가좌동),3712.0,갤러리,20220500000000.0,U,2021-12-05 0:04,한식,192344.5441,452002.2787,,1050286731,-
영업/정상,1,영업,,87.54,120848.0,서울특별시 서대문구 홍은동 397-26 1층,서울특별시 서대문구 가좌로 86 1층 (홍은동),3659.0,홍가족발집,20220400000000.0,U,2021-12-03 21:00,한식,193566.306,453168.2097,,293341203,4.32
영업/정상,1,영업,,45.0,120812.0,서울특별시 서대문구 북가좌동 279-12 1층 ,서울특별시 서대문구 응암로 116 1층 (북가좌동),3667.0,왕노가리,20201100000000.0,U,2020-11-08 2:40,한식,192308.8448,453379.4394,한식,1887456010,4.39
영업/정상,1,영업,,24.0,120848.0,서울특별시 서대문구 홍은동 355번지 제마동 102호 ,서울특별시 서대문구 가좌로 123 (홍은동 제마동 102호),3675.0,빅스타,20150900000000.0,I,2018-08-31 23:59,기타,193281.5851,453439.2702,기타,1684270213,4.41
영업/정상,1,영업,02  31423989,118.8,120825.0,서울특별시 서대문구 연희동 192-17번지 ,서울특별시 서대문구 성산로 333 (연희동),3707.0,궁뜰메밀,20190100000000.0,U,2019-01-13 2:40,한식,193512.5172,451546.5096,한식,38466760,4.22
영업/정상,1,영업,,20.75,120830.0,서울특별시 서대문구 연희동 187-61번지 ,서울특별시 서대문구 연희로 88 (연희동),3725.0,연희 노가리,20150300000000.0,I,2018-08-31 23:59,호프/통닭,193781.4312,451514.9607,호프/통닭,1274847284,4.59
영업/정상,1,영업,,36.3,120834.0,서울특별시 서대문구 창천동 72-1번지 ,서울특별시 서대문구 연세로5길 38 (창천동),3789.0,돈 우마미,20190700000000.0,U,2019-07-07 2:40,한식,194210.3698,450431.2301,한식,1150580423,4.53
영업/정상,1,영업,02 3565656,84.0,120845.0,서울특별시 서대문구 홍은동 201-1번지 지하1층 ,서울특별시 서대문구 연희로 353 (홍은동지하1층),3650.0,한식당,20071000000000.0,I,2018-08-31 23:59,한식,194211.9972,454098.9703,한식,21259049,4.37
영업/정상,1,영업,02 3746264,39.6,120807.0,서울특별시 서대문구 남가좌동 340-32번지 지상1층 ,서울특별시 서대문구 증가로 122 (남가좌동지상1층),3666.0,호아저씨치킨,20101200000000.0,I,2018-08-31 23:59,통닭(치킨),193243.5521,452792.1314,통닭(치킨),1084097814,-
영업/정상,1,영업,,66.0,120854.0,서울특별시 서대문구 홍제동 109-1 1층 정면 우측점포 ,서울특별시 서대문구 통일로34길 7 1층 정면 우측점포 (홍제동),3632.0,헤일우드(HALEWOOD),20220100000000.0,U,2022-01-27 2:40,한식,195388.8304,453679.5797,한식,-,-
영업/정상,1,영업,,26.44,120825.0,서울특별시 서대문구 연희동 106-26번지 ,서울특별시 서대문구 증가로 53 1층 (연희동),3702.0,가고싶은선리네,20200200000000.0,U,2020-02-21 2:40,경양식,193632.9274,452241.8393,경양식,1107644965,4.56
영업/정상,1,영업,,62.06,120796.0,서울특별시 서대문구 현저동 200 독립문극동아파트 ,서울특별시 서대문구 독립문공원길 13 독립문극동아파트 상가동 지하1층 102103호 (현저동),3733.0,미소식당,20210400000000.0,U,2021-05-01 2:40,한식,196111.1687,452194.8346,한식,1529635488,4.4
영업/정상,1,영업,,39.81,120060.0,서울특별시 서대문구 옥천동 44-1번지 ,서울특별시 서대문구 독립문로 31-6 1층 (옥천동),3734.0,서울의 시간을 그리다,20190200000000.0,U,2019-02-17 2:40,기타,196540.3063,451908.1503,기타,1012592438,4.35
영업/정상,1,영업,02  63644966,115.7,120013.0,서울특별시 서대문구 충정로3가 476번지 ,서울특별시 서대문구 충정로 7 지하2층 (충정로3가 구세군빌딩),3737.0,내림손삼계탕,20190100000000.0,U,2019-02-02 2:40,한식,196595.5514,450873.2535,한식,32739391,4.44
영업/정상,1,영업,02 7225585,42.88,120856.0,서울특별시 서대문구 홍제동 176-9 ,서울특별시 서대문구 통일로36길 7 (홍제동),3630.0,홍제동부대찌개,20210800000000.0,U,2021-08-15 2:40,일식,195194.5397,453921.0946,일식,33832996,4.04
영업/정상,1,영업,,37.0,120814.0,서울특별시 서대문구 북가좌동 311-22,서울특별시 서대문구 거북골로20길 53-28 1층 (북가좌동),3679.0,착한쭝식,20220600000000.0,U,2021-12-05 22:03,한식,191973.7532,453177.2295,,1456735147,-
영업/정상,1,영업,02 7252220,206.78,120853.0,서울특별시 서대문구 홍제동 90-53 지하1층지상1층 ,서울특별시 서대문구 통일로 377 (홍제동 지하1층지상1층),3730.0,서대문영양족발,20210900000000.0,U,2021-09-05 2:40,한식,195439.9703,453496.4536,한식,36406584,4.32
영업/정상,1,영업,,30.0,120806.0,서울특별시 서대문구 남가좌동 338-58 1층 ,서울특별시 서대문구 가재울로6길 53-36 1층 (남가좌동),3692.0,에프앤디(F&D),20210900000000.0,U,2021-10-02 2:40,호프/통닭,193177.2639,452728.8732,호프/통닭,13470736,-
영업/정상,1,영업,31427220,313.49,120834.0,서울특별시 서대문구 창천동 57-42번지 ,서울특별시 서대문구 연세로5가길 8-3 (창천동),3789.0,달포차,20190100000000.0,U,2019-01-31 2:40,호프/통닭,194293.0502,450572.7466,호프/통닭,-,-
영업/정상,1,영업,02  376 9272,56.1,120848.0,서울특별시 서대문구 홍은동 341-5번지 ,서울특별시 서대문구 가좌로 145 (홍은동),3675.0,다래칼국수,20140600000000.0,I,2018-08-31 23:59,한식,193157.8422,453622.3513,한식,13150719,4.42
영업/정상,1,영업,02  395 2066,33.0,120857.0,서울특별시 서대문구 홍제동 304-6번지 (지상1층) ,서울특별시 서대문구 세무서1길 28 (홍제동(지상1층)),3629.0,삼대냉면,20111100000000.0,I,2018-08-31 23:59,분식,195008.0749,454097.6882,분식,847623888,4.16
영업/정상,1,영업,02  306 1903,51.15,120812.0,서울특별시 서대문구 북가좌동 291-4번지 ,서울특별시 서대문구 증가로 215 (북가좌동),3682.0,거북골숯불갈비,20110800000000.0,I,2018-08-31 23:59,한식,192405.9973,453187.5254,한식,13347695,4.44
영업/정상,1,영업,,33.0,120805.0,서울특별시 서대문구 남가좌동 286-48번지 (지상1층) ,서울특별시 서대문구 수색로2길 47 (남가좌동(지상1층)),3712.0,먹고보자,20171100000000.0,I,2018-08-31 23:59,한식,192490.3788,452070.2107,한식,-,-
영업/정상,1,영업,02  373 9292,90.72,120802.0,서울특별시 서대문구 남가좌동 102-14 ,서울특별시 서대문구 수색로2길 10 (남가좌동),3712.0,소문난갈비,20220100000000.0,U,2022-01-16 2:40,한식,192535.2232,451890.8517,한식,11618531,4.64
영업/정상,1,영업,232170436,72.0,120845.0,서울특별시 서대문구 홍은동 188-29 삼성빌라 2층,서울특별시 서대문구 연희로41길 167 2층 (홍은동 삼성빌라),3649.0,카페소품이야기2호점,20220400000000.0,U,2021-12-03 21:00,기타,194012.2721,454758.6111,,1010622408,4.47
