Unnamed: 0,상세영업상태명,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,업소id,별점
0,영업,,26.4,158050,서울특별시 양천구 목동 919-7번지 홈플러스목동점 ,서울특별시 양천구 목동서로 170 지상1층 (목동 홈플러스목동점),7992.0,키무카츠목동점,20171200000000.0,I,2018-08-31 23:59,일식,188729.1905,447572.61,일식,-,-
1,영업,02 4049908,65.41,138814,서울특별시 송파구 거여동 32-6 ,서울특별시 송파구 오금로 544 1층 (거여동),5774.0,교촌치킨 마천1호점,20201000000000.0,U,2020-10-14 2:40,통닭(치킨),213114.2669,443398.148,통닭(치킨),11802005,4.33
2,영업,02 4152153,28.0,138845,서울특별시 송파구 석촌동 235-1번지 지상1층 ,서울특별시 송파구 백제고분로 292 지상1층 (석촌동),5680.0,꼬쟁이,20180600000000.0,I,2018-08-31 23:59,한식,208693.7651,444468.2436,한식,76190403,4.22
3,영업,,39.6,140090,서울특별시 용산구 신계동 30-1,서울특별시 용산구 새창로45길 12 1층 (신계동),4370.0,와이브루,20220600000000.0,I,2021-12-06 0:04,기타,196662.4674,448020.1221,,1752801463,4.7
4,영업,02  544 8410,172.62,135827,서울특별시 강남구 논현동 184-31 지상2층 ,서울특별시 강남구 봉은사로1길 16 (논현동지상2층),6120.0,노상치킨(신논현점),20211000000000.0,U,2021-10-31 2:40,호프/통닭,202124.3742,444850.1967,호프/통닭,1251709790,4.03
5,영업,,26.97,151832,서울특별시 관악구 봉천동 1639-1번지 ,서울특별시 관악구 인헌6길 15 C동 1층 (봉천동),8797.0,봉구스밥버거 인헌점,20141200000000.0,I,2018-08-31 23:59,한식,196911.0388,441298.3361,한식,36177531,4.34
6,영업,,99.0,121827,서울특별시 마포구 망원동 483-2 진평925 ,서울특별시 마포구 망원로 87 진평925 1층 좌측호 (망원동),3964.0,에이바이트델리 망원,20211100000000.0,U,2021-11-04 2:40,경양식,191661.2103,450630.9049,경양식,1208942116,5
7,영업,264017899,42.5,156820,서울특별시 동작구 사당동 323-13 ,서울특별시 동작구 사당로 247 지상1층 (사당동),7005.0,노루목곱창,20201100000000.0,U,2020-11-13 2:40,한식,197737.0901,442364.2806,한식,-,-
8,영업,02  491 5447,69.96,131823,서울특별시 중랑구 면목동 184-16번지 ,서울특별시 중랑구 동일로109길 34 1층 (면목동),2124.0,바다향그대로,20171000000000.0,I,2018-08-31 23:59,횟집,206826.3623,454394.3602,횟집,1669985559,4.37
9,영업,02  532 2234,66.05,137803,서울특별시 서초구 반포동 55-3 ,서울특별시 서초구 고무래로 16 1층 (반포동),6593.0,스시현,20200800000000.0,U,2020-08-13 2:40,일식,200841.9583,444550.1769,일식,1987203183,4.54
10,영업,,32.4,136090,서울특별시 성북구 종암동 132 종암우림카이저팰리스 1층 124-2호,서울특별시 성북구 종암로 132 1층 124-2호 (종암동 종암우림카이저팰리스),2797.0,한국포차,20211200000000.0,I,2021-12-24 0:22,한식,202887.7362,455516.2032,한식,1115301892,-
11,영업,,50.15,121010,서울특별시 마포구 아현동 733번지 ,서울특별시 마포구 마포대로 208 (아현동 효성인텔리안 지하1층 B101호),4206.0,로찌,20180300000000.0,I,2018-08-31 23:59,한식,196116.3595,450027.0689,한식,1262468434,-
