"업소아이디","업소명","분류코드","분류코드명","업소 주소","업소 전화번호","추천수","상품명","상품가격(일반)(원)"
"00009635","박연헤어","005","이 미용업","서울특별시 서울 도봉구 도봉로136길 111(창동)","02-900-0838","0","커트","8000"
"00009635","박연헤어","005","이 미용업","서울특별시 서울 도봉구 도봉로136길 111(창동)","02-900-0838","0","파마","30000"
"00009634","블루컷트","005","이 미용업","서울특별시 서울 도봉구 해등로 255(쌍문동)","02-999-6922","0","염색","7000"
"00009634","블루컷트","005","이 미용업","서울특별시 서울 도봉구 해등로 255(쌍문동)","02-999-6922","0","커트","5000"
"00009633","우이목장","001","한식","서울특별시 서울 도봉구 우이천로 298(쌍문동)","02-904-3070","0","갈비탕","11000"
"00009632","착한부대찌개","001","한식","서울특별시 서울 도봉구 도봉로109길 46 2층(쌍문동)","02-902-0191","0","부대찌개","6000"
"00009632","착한부대찌개","001","한식","서울특별시 서울 도봉구 도봉로109길 46 2층(쌍문동)","02-902-0191","0","떡만두국","5500"
"00009631","홍방원","002","중식","서울특별시 서울 도봉구 도봉로169나길 47(도봉동)","02-954-0719","0","짜장면","4500"
"00009631","홍방원","002","중식","서울특별시 서울 도봉구 도봉로169나길 47(도봉동)","02-954-0719","0","탕수육","14000"
"00009630","원포토라인","013","기타서비스업종","서울특별시 서울 도봉구 도당로13길 50(방학동)","02-955-3795","0","인화료","350"
"00009630","원포토라인","013","기타서비스업종","서울특별시 서울 도봉구 도당로13길 50(방학동)","02-955-3795","0","사진촬영료","8000"
"00009629","일광사","007","세탁업","서울특별시 중구 다산로33다길 29 (신당동)","02-2238-6492","0","바지수선","4000"
"00009629","일광사","007","세탁업","서울특별시 중구 다산로33다길 29 (신당동)","02-2238-6492","0","겨울코트 세탁","15000"
"00009629","일광사","007","세탁업","서울특별시 중구 다산로33다길 29 (신당동)","02-2238-6492","0","자켓 드라이클리닝","5000"
"00009629","일광사","007","세탁업","서울특별시 중구 다산로33다길 29 (신당동)","02-2238-6492","0","하의 드라이클리닝","3000"
"00009628","오늘우리집비어","001","한식","서울특별시 서울 중랑구 용마산로115길 109 지1층","0507-1469-0613","0","김치찌개","8000"
"00009628","오늘우리집비어","001","한식","서울특별시 서울 중랑구 용마산로115길 109 지1층","0507-1469-0613","0","된장찌개","6000"
"00009627","쿨맨헤어","005","이 미용업","서울특별시 은평구 서오릉로 79(역촌동)","02-308-7161","0","새치염색","20000"
"00009627","쿨맨헤어","005","이 미용업","서울특별시 은평구 서오릉로 79(역촌동)","02-308-7161","0","커트","9000"
"00009626","은평닭곰탕","001","한식","서울특별시 은평구 연서로3길 5(역촌동)","","0","닭곰탕","7000"
"00009625","역촌동 멸치국수","001","한식","서울특별시 은평구 역말로 24(역촌동)","02-356-5903","0","멸치국수","4500"
"00009624","솥뚜껑","001","한식","서울특별시 은평구 연서로29길 11(갈현동)","02-354-9282","0","삼겹살","7000"
"00009624","솥뚜껑","001","한식","서울특별시 은평구 연서로29길 11(갈현동)","02-354-9282","0","목살","7000"
"00009623","양구손두부","001","한식","서울특별시 은평구 통일로83길 5-21(갈현동)","02-353-7185","0","두부정식","10000"
"00009622","행복밥상","001","한식","서울특별시 은평구 갈현로 302-7(갈현동)","","0","청국장","6000"
"00009622","행복밥상","001","한식","서울특별시 은평구 갈현로 302-7(갈현동)","","0","된장찌개","6000"
"00009622","행복밥상","001","한식","서울특별시 은평구 갈현로 302-7(갈현동)","","0","순두부찌개","6000"
"00009621","우경촌","001","한식","서울특별시 은평구 통일로78길 4-4(불광동)","02-382-1236","0","양념게장백반","5000"
"00009621","우경촌","001","한식","서울특별시 은평구 통일로78길 4-4(불광동)","02-382-1236","0","간장게장백반","5000"
"00009620","멸치국수","001","한식","서울특별시 은평구 은평로 119 2층(응암동)","02-359-8988","0","멸치국수","5500"
"00009619","OK스시","003","경양식일식","서울특별시 은평구 응암로4길 22 102호(응암동)","02-389-9888","0","모듬회","20000"
"00009619","OK스시","003","경양식일식","서울특별시 은평구 응암로4길 22 102호(응암동)","02-389-9888","0","모듬초밥","7000"
"00009618","시장냉면","001","한식","서울특별시 은평구 응암로22길 5-17(응암동)","02-387-1434","0","물냉면","5500"
"00009618","시장냉면","001","한식","서울특별시 은평구 응암로22길 5-17(응암동)","02-387-1434","0","비빔냉면","5500"
"00009617","전주집","001","한식","서울특별시 서울 마포구 큰우물로 75 지하1층","02-716-4872","0","김치찌개","6000"
"00009617","전주집","001","한식","서울특별시 서울 마포구 큰우물로 75 지하1층","02-716-4872","0","국산콩비지","6000"
"00009617","전주집","001","한식","서울특별시 서울 마포구 큰우물로 75 지하1층","02-716-4872","0","청국장","6000"
"00009617","전주집","001","한식","서울특별시 서울 마포구 큰우물로 75 지하1층","02-716-4872","0","오징어덮밥","7000"
"00009617","전주집","001","한식","서울특별시 서울 마포구 큰우물로 75 지하1층","02-716-4872","0","비빔밥","6000"
"00009617","전주집","001","한식","서울특별시 서울 마포구 큰우물로 75 지하1층","02-716-4872","0","돌솥비빔밥","7000"
"00009616","사루카메","003","경양식일식","서울특별시 서울 마포구 연남로 15 1층","02","0","스태미너덮밥","3800"
"00009616","사루카메","003","경양식일식","서울특별시 서울 마포구 연남로 15 1층","02","0","사와칵테일","4000"
"00009616","사루카메","003","경양식일식","서울특별시 서울 마포구 연남로 15 1층","02","0","사루라멘","9000"
