"업소아이디","업소명","분류코드","분류코드명","업소 주소","업소 전화번호","찾아오시는 길","업소정보","자랑거리","추천수","기준년월","업소 사진"
"00006017","아폴로헤어크리닉","005","이 미용업","서울특별시 중랑구 사가정로50길 67 (면목동)","495-7337        ","면목골목시장 65호","영업시간 :09:00~21:00 좌석수 :5 휴무일 :매주 수요일 예약 :불가능 카드 :불가능 주차 :가능 취급 품목 : 미용료(파마) 27000원  ","면목시장내 위치 형편이 어려우신 분은 요금을 할인해주며 20년간 봉사활동을 하시는 사장님이 운영하는 업소","450","21-2","http://tearstop.seoul.go.kr/mulga/photo/20151126102205.jpg"
"00006015","상록수미용실","005","이 미용업","서울특별시 중랑구 동일로99길 22 (면목동)","","면목2동 다울아파트에서 동일로로 가는 골목에 위치","영업시간 : 09:30~21:00 좌석수 : 3 휴무일 : 매주 일요일 예약 :불가능 카드 :불가능 주차 :가능 취급 품목 : 미용료(파마) 20000원 기타: '저렴한 가격으로 컷트 파마를 할 뿐 아니라 어르신은 컷트 3000원. -관내 독거노인 4분은 가정으로 방문하여 미용봉사  -사장님이 첫째주 일요일은 녹색병원 봉사 셋째주 일요일은 한걸음 병원 봉사 넷째주 일요일은 신내노인요양원에서 봉사'                 ","주 고객이 어르신들이라 가격을 저렴하게 책정하여 파마 14000원 등 파격적인 요금을 자랑하고 수십년간 병원 요양원      등에 미용봉사 하시는 원장님이 계시는 업소로 친절한 서비스로 단골고객 확보 매주 일요일은 봉사활동 하시는 관계로 휴무 '주변 평균가격(47167원)보다 60% 이상 저렴  주로 단골들이 노인층이므로 가격을 저렴하게 책정'","432","21-2","http://tearstop.seoul.go.kr/mulga/photo/20151126102520.jpg"
"00004506","열린미용실","005","이 미용업","서울특별시 관악구 난곡로40길 16 (신림동)","","미성동 노선버스 신일교회앞 하차","영업시간 : 오전 9시 ~ 오후 8시 휴무일 : 매주 일요일 예약 : 가능 카드 : 가능 좌석수 : 3개 기타 : 파마는 기본 20000원부터 서비스에 따라 추가 될 수 있습니다. 주차 : 불가능         ","▷관악구 평균가격보다 20%이상 저렴. ▷경로자 장애인 할인해 드림 ▷한달에 한번씩 교회에서 지역어르신들 머리 커트 봉사","336","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220718132604.jpg"
"00003002","미림17분칼라","013","기타서비스업종","서울특별시 관악구 호암로26길 1 (신림동)","871-7070        ","미림여고 입구 국민은행 옆 위치","영업시간 :오전 9시 30분  ~ 오후 9시 30분 휴무일 : 매월 둘째 넷째주 일요일 주차 : 불가능 카드결제 : 가능            ","▷관악구 평균가격(인화료 -3*5cm) 보다 20% 저렴","318","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220718160128.jpg"
"00004242","덕성이발관","005","이 미용업","서울특별시 관악구 장군봉2길 11 (봉천동)","882-5875","봉천역 3번 출구에서 시장골목으로 100미터","영업시간 : 오전 7시 ~ 오후 9시 좌석수 : 4 휴무일 : 매주 화요일 주차 : 불가능 예약 : 가능 카드 : 불가능         ","▷관악구 평균가격보다 10%이상 저렴 ▷시설이 세련되지는 않았지만 동네 사랑방 같은 분위기로 이용자 많음","264","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120405110716.JPG"
"00005948","헤어디자인하우스","005","이 미용업","서울특별시 서울 관악구 은천로 95 벽산블루밍상가 4층","3285-8002       ","지하철 2호선 봉천역 하차 4번출구로 나와 1번 마을버스 타고 현대시장 정류장 하차 벽산블루밍아파트상가까지 도보 3분","영업시간 : 오전 10시 ~ 오후 8시 좌석수 : 7석 휴무일 : 매주 일요일 예약 : 가능 카드 : 가능 주차 : 가능  기타 : 파마는 기본 20000원부터 서비스에 따라 추가 될 수 있습니다.           ","커트가격 5000원.  최고의 기술과 서비스 제공","258","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220728102750.jpg"
"00001739","목우촌부추삼겹살","001","한식","서울특별시 관악구 남현1길 68-10 (남현동)","588-7399        ","전철 2호선 4호선 사당역에서 5번출구로 나오시면 (구)관악등기소쪽 먹자골목으로 50m거리에 위치","영업시간 : 오전 10시 ~ 오후 11시 30분 좌석수 : 44석 휴무일 : 연중무휴 배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능         ","▷사당역 먹자골목에 위치 ▷김치찌개된장찌개 2010년부터 가격 동결 ▷친절업소","257","21-2","http://tearstop.seoul.go.kr/mulga/photo/20150107174451.JPG"
"00004325","청진동해장국","001","한식","서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층","875-9882        ","지하철 2호선 서울대입구역 3번 출구로 나와서 서울대학교 쪽으로 직진 도보10분 관악경찰서 앞에 위치함.","영업시간 : 24시간 좌석수 : 80석 휴무일 : 연중무휴  배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능           ","관악구 평균가격(5000원) 보다 10% 저렴 김치 깍두기 등 직접 만들어 신선함.","252","21-2","http://tearstop.seoul.go.kr/mulga/photo/20220718174745.jpg"
"00006688","행운미용실","005","이 미용업","서울특별시 중랑구 동일로120길 121-11 (상봉동)","2208-7385       ","상봉1동 주민센터 지나 우회전하여 부광통상 택시회사 옆","영업시간 : 8:30~22:00 좌석수 :2 휴무일 :없음 배달 : 불가능 예약 : 불가능 카드 : 불가능 주차 :가능 취급품목 : 미용료(파마) 15000원 ","한 장소에서 오랫동안 미용실을 운영 종업원 없이 사장님 혼자 운영하시기 때문에 가격이 저렴하여 바쁜 시간에는 번호표를     뽑을 정도로 대기손님이 많음 ","250","21-2","http://tearstop.seoul.go.kr/mulga/photo/20151126102800.jpg"
"00007851","오백냥분식","001","한식","서울특별시 송파구 가락로 112 (석촌동)","414-2261","전철노선: 8호선 송파역 4번출구 중동빌딩 버스노서 : 3417.3418.3422.1007-1. 5600.8202.2412.100 ","영업시간:08:00~21:00 휴무일:연중무휴 좌  석:20석 주  차:가능	 배  달:불가 예  약:불가 카  드:가능  ","저렴한 가격으로 국내산 재료 취급함 친절한 고객 서비스 ","236","21-2","http://tearstop.seoul.go.kr/mulga/photo/20120703113153.JPG"
