,업소아이디,업소명,메뉴,가격,위도,경도,행정구,행정동,별점,식당아이디
140,8508,장독묵은지,감치찌개,6000,37.48868793,127.0668453,강남구,개포동,4.38,18419672
183,8524,다복콩비지,오리로스(400g 반마리),23000,37.47709916,127.0492122,강남구,개포동,-,-
234,8507,우리생고기,청국장,6000,37.48889849,127.0685805,강남구,개포동,4.24,36004730
258,8518,노숙자아구샤브샤브,해물된장비빔밥,6000,37.47808654,127.0482133,강남구,개포동,-,-
262,8515,누이야식당,순두부,6000,37.47265319,127.0513972,강남구,개포동,4.29,13358439
276,8516,동대문곱창전문,오늘의메뉴,5000,37.47400394,127.0498194,강남구,개포동,-,1867169591
287,8514,바지락칼국수,된장찌개,6000,37.47889649,127.0456391,강남구,개포동,4.58,20877928
299,9002,처갓집,북어국,6000,37.4723696,127.0517062,강남구,개포동,4.26,37065452
327,9005,수타손짜장,짜장+짬뽕+탕수육set,10000,37.49265817,127.0755849,강남구,개포동,4.42,1750362890
339,8512,숙아채 콩나물국밥(개포),콩나물국밥,5000,37.47775738,127.0478334,강남구,개포동,-,-
351,9055,나드리식당,오늘의백반,6000,37.48327055,127.0623592,강남구,개포동,-,-
372,9234,노다지,삽겹살(180g),14000,37.47862998,127.0496316,강남구,개포동,-,1259551793
377,9358,대청김밥,칼국수,5000,37.49413139,127.0787831,강남구,개포동,4.12,1670518861
459,9228,소담,순대국,7000,37.49265817,127.0755849,강남구,개포동,4.59,1816161265
475,9380,미도한우마을,새싹비빔밥 ,6000,37.48868793,127.0668453,강남구,개포동,-,-
499,9236,서희네,생오겹살(200g),15000,37.47660781,127.0497151,강남구,개포동,4.19,1849117994
514,9385,맛찬,순두부 ,7000,37.49265817,127.0755849,강남구,개포동,4.46,1558499234
537,9251,양평해장국,순대해장국,7000,37.47524769,127.0487627,강남구,개포동,4,676896775
557,9250,김밥여행,제육덮밥,7000,37.47427572,127.0534426,강남구,개포동,4.08,18802298
588,9054,강남본돼지갈비,참숯불돼지갈비(300g),15000,37.47733721,127.0490041,강남구,개포동,-,-
117,8414,지리산,돌솥오징어,7000,37.51658323,127.0372078,강남구,논현동,4.19,36004008
123,8410,영동원삼겹살,생오겹살(150g),7900,37.50867738,127.023051,강남구,논현동,4.39,18509106
172,8415,청계산갈비살,돼지갈비(250g),15000,37.51676351,127.0378128,강남구,논현동,4.21,18509142
196,8413,항아리 숯불갈비,왕돼지갈비(300g),13000,37.5168427,127.0364969,강남구,논현동,-,-
216,8399,바보네집,부대찌개,7000,37.51083869,127.0333165,강남구,논현동,-,-
223,8403,청송숯불화로구이,돼지갈비(300g),20000,37.51024939,127.0390466,강남구,논현동,4.48,18842432
370,9360,돈먹고돈내고,이베리코(200g),12000,37.50993138,127.0380661,강남구,논현동,4.33,1562699288
385,9357,남도맛집,청국장,6000,37.50867799,127.0345765,강남구,논현동,-,1954163238
505,9359,비바비보 앤 호프,까르보나라,6900,37.51614779,127.0302255,강남구,논현동,-,-
107,8459,오복냉면,돼지왕갈비(250g),10900,37.50185209,127.0521767,강남구,대치동,-,-
122,8453,제일식당,비빔밥,5000,37.49349436,127.059773,강남구,대치동,-,36003991
126,8460,두꺼비,소고기김치찌개,5000,37.5014665,127.0530851,강남구,대치동,4.41,13149894
129,8478,육판장,국수,5000,37.4938814,127.0629519,강남구,대치동,4.11,19993872
145,8469,미러칼국수,손칼국수,7000,37.49961577,127.0659154,강남구,대치동,4.32,33879310
149,8451,청실식당,김치찌개,6000,37.4931667,127.0591649,강남구,대치동,4.04,36003989
