,업소아이디,총개수,키워드1,개수1,키워드2,개수2,키워드3,개수3,키워드4,개수4,키워드5,개수5,URL
0,1739,62,음식이 맛있어요,47,가성비가 좋아요,21,재료가 신선해요,15,친절해요,12,양이 많아요,8,21025096
1,4325,0,0,0,0,0,0,0,0,0,0,0,-
2,7851,68,가성비가 좋아요,32,음식이 맛있어요,26,혼밥하기 좋아요,25,친절해요,16,양이 많아요,10,13153220
3,6764,109,음식이 맛있어요,83,친절해요,32,양이 많아요,24,가성비가 좋아요,24,재료가 신선해요,19,20829543
4,3986,"1,279",음식이 맛있어요,732,가성비가 좋아요,654,양이 많아요,381,혼밥하기 좋아요,283,친절해요,141,36004335
5,8633,63,음식이 맛있어요,57,특별한 메뉴가 있어요,21,재료가 신선해요,18,친절해요,16,가성비가 좋아요,12,19997949
6,8171,180,음식이 맛있어요,123,가성비가 좋아요,63,친절해요,44,재료가 신선해요,28,양이 많아요,27,36004538
7,3906,53,음식이 맛있어요,36,가성비가 좋아요,9,양이 많아요,8,혼밥하기 좋아요,7,친절해요,7,1985770038
8,8265,115,음식이 맛있어요,54,친절해요,29,가성비가 좋아요,19,혼밥하기 좋아요,17,재료가 신선해요,11,20880249
9,5959,34,음식이 맛있어요,26,친절해요,10,가성비가 좋아요,9,재료가 신선해요,5,양이 많아요,5,18800486
10,7786,47,음식이 맛있어요,29,재료가 신선해요,11,가성비가 좋아요,11,친절해요,10,양이 많아요,5,13132772
11,6778,74,음식이 맛있어요,42,친절해요,26,가성비가 좋아요,23,재료가 신선해요,11,양이 많아요,8,17990777
12,6384,0,0,0,0,0,0,0,0,0,0,0,1492791228
13,4826,48,음식이 맛있어요,23,가성비가 좋아요,15,친절해요,13,혼밥하기 좋아요,6,양이 많아요,6,32088848
14,6378,62,음식이 맛있어요,36,가성비가 좋아요,16,혼밥하기 좋아요,13,친절해요,13,재료가 신선해요,8,18808869
15,6871,0,0,0,0,0,0,0,0,0,0,0,36004924
16,7142,161,음식이 맛있어요,125,가성비가 좋아요,50,양이 많아요,43,재료가 신선해요,34,친절해요,23,36004929
17,6856,0,0,0,0,0,0,0,0,0,0,0,1907395009
18,7501,72,음식이 맛있어요,46,가성비가 좋아요,32,양이 많아요,13,재료가 신선해요,12,친절해요,12,20868139
19,1113,874,음식이 맛있어요,651,특별한 메뉴가 있어요,191,친절해요,186,혼밥하기 좋아요,156,가성비가 좋아요,142,1920811115
20,7338,0,0,0,0,0,0,0,0,0,0,0,-
21,5713,211,음식이 맛있어요,94,가성비가 좋아요,79,혼밥하기 좋아요,51,친절해요,44,양이 많아요,33,36004204
22,7299,0,0,0,0,0,0,0,0,0,0,0,-
23,1460,85,음식이 맛있어요,59,친절해요,21,가성비가 좋아요,21,재료가 신선해요,13,양이 많아요,13,18715342
24,736,291,음식이 맛있어요,165,가성비가 좋아요,108,친절해요,48,양이 많아요,41,혼밥하기 좋아요,40,18570229
25,6759,135,음식이 맛있어요,100,양이 많아요,41,가성비가 좋아요,41,친절해요,37,혼밥하기 좋아요,28,13152434
26,7833,0,0,0,0,0,0,0,0,0,0,0,-
27,7832,16,음식이 맛있어요,9,재료가 신선해요,4,친절해요,4,가성비가 좋아요,4,혼밥하기 좋아요,2,944494960
28,7802,139,음식이 맛있어요,96,가성비가 좋아요,53,친절해요,30,재료가 신선해요,22,혼밥하기 좋아요,21,36004211
29,7663,89,음식이 맛있어요,56,가성비가 좋아요,20,친절해요,14,재료가 신선해요,13,양이 많아요,11,19007398
30,3887,0,0,0,0,0,0,0,0,0,0,0,-
31,7574,20,음식이 맛있어요,16,가성비가 좋아요,6,친절해요,4,양이 많아요,3,혼밥하기 좋아요,2,36004923
32,2022,0,0,0,0,0,0,0,0,0,0,0,34807268
