,업소아이디,업소명,분류코드,분류코드명,업소 주소,업소 전화번호,찾아오시는 길,업소정보,자랑거리,추천수,기준년월,업소 사진,위도,경도,행정구,행정동,검색명,식당아이디
0,1739,목우촌부추삼겹살,1,한식,서울특별시 관악구 남현1길 68-10 (남현동),588-7399        ,전철 2호선 4호선 사당역에서 5번출구로 나오시면 (구)관악등기소쪽 먹자골목으로 50m거리에 위치,영업시간 : 오전 10시 ~ 오후 11시 30분 좌석수 : 44석 휴무일 : 연중무휴 배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능         ,▷사당역 먹자골목에 위치 ▷김치찌개된장찌개 2010년부터 가격 동결 ▷친절업소,257,21-2,http://tearstop.seoul.go.kr/mulga/photo/20150107174451.JPG,37.47533958,126.9810899,관악구,남현동,관악구 남현동 목우촌부추삼겹살,21025096
1,4325,청진동해장국,1,한식,서울특별시 관악구 관악로 105 (봉천동) 동산빌딩1층,875-9882        ,지하철 2호선 서울대입구역 3번 출구로 나와서 서울대학교 쪽으로 직진 도보10분 관악경찰서 앞에 위치함.,영업시간 : 24시간 좌석수 : 80석 휴무일 : 연중무휴  배달 : 불가 예약 : 가능 카드 : 가능 주차 : 가능           ,관악구 평균가격(5000원) 보다 10% 저렴 김치 깍두기 등 직접 만들어 신선함.,252,21-2,http://tearstop.seoul.go.kr/mulga/photo/20220718174745.jpg,37.47462961,126.9525993,관악구,봉천동,관악구 봉천동 청진동해장국,-
2,7851,오백냥분식,1,한식,서울특별시 송파구 가락로 112 (석촌동),414-2261,전철노선: 8호선 송파역 4번출구 중동빌딩 버스노서 : 3417.3418.3422.1007-1. 5600.8202.2412.100 ,영업시간:08:00~21:00 휴무일:연중무휴 좌  석:20석 주  차:가능, 배  달:불가 예  약:불가 카  드:가능  ,236,21-2,http://tearstop.seoul.go.kr/mulga/photo/20120703113153.JPG,37.501272,127.1085095,송파구,석촌동,송파구 석촌동 오백냥분식,13153220
3,6764,토방 닭 한마리,1,한식,서울특별시 관악구 신림로22길 5 (신림동),874-6895        ,신성부동산 건물 바로 뒷건물,영업시간 : 오전 10시 ~ 오후 10시 좌석수 : 50석 예약 : 가능 카드 : 가능 배달 : 불가능 주차 : 가능 휴무일 : 첫째 셋째 화요일     ,▷관악구 평균가격보다 10% 저렴 ▷반찬을 여러가지 하지 않고 김치와 깍두기 두가지만 맛있게 준비하여 재료비 절감 ▷15년 전통의 맛집,214,21-2,http://tearstop.seoul.go.kr/mulga/photo/20220718182757.jpg,37.47164663,126.9353063,관악구,신림동,관악구 신림동 토방 닭 한마리,20829543
4,3986,왕세숫대야냉면(행복을파는집),1,한식,서울특별시 강서구 공항대로 423(등촌동),02-2668-3608,화진코스메틱에서 강서구청4거리쪽으로 조금만 올라오세요~,영업시간 : 24시간 좌석수 : 30개 휴무일 : 미정 배달 : 불가 카드 : 가능 주차 : 불가 홈페이지 주소 : 없음 전자우편주소 : 없음 기타 : 없음 ,많이 판매가 되므로 저렴한 가격유지 그날그날 신선한 재료사용하여 조리합니다.,163,21-2,http://tearstop.seoul.go.kr/mulga/photo/00003986.JPG,37.55556748,126.8543717,강서구,등촌동,강서구 등촌동 왕세숫대야냉면(행복을파는집),36004335
5,8633,돌마리유황오리,1,한식,서울특별시 송파구 가락로 66 (석촌동),423-6231,전철노선 : 8호선 송파역 4번출구에서 강남한의원 방면 도보 7분 버스노선 : 2142321533143217320360301100116 석촌역정류장 하차 도보 5분,영업시간 :10:00~23:00 예약 :가능 카드 :가능 좌석 :96석 배달 : 불가 주차 : 가능    ,친절 서비스,155,21-2,http://tearstop.seoul.go.kr/mulga/photo/20130619110215.JPG,37.49976018,127.1036182,송파구,석촌동,송파구 석촌동 돌마리유황오리,19997949
6,8171,벧엘 칼국수,1,한식,서울특별시 송파구 마천로41길 22 (마천동),408-5151,버스노선 : 3314 3318 5 3417 마천1동 주민센터 하차 전철노선 : 5호선 마천역 1번출구 5분거리 ,영업시간 : 오전 10시 ~ 오후 9시 좌석수 : 36석 휴무일 : 일요일 배달:불가 예약:가능 카드:가능 주차:불가   ,쾌적한 환경이며 안방같은 편안한 분위기. 깔끔하고 신선한 식재료 사용. 친절 서비스,106,21-2,http://tearstop.seoul.go.kr/mulga/photo/20120703143647.JPG,37.49689463,127.1499473,송파구,마천동,송파구 마천동 벧엘 칼국수,36004538
7,3906,보라매25시해장국,1,한식,서울특별시 양천구 신월로17길 21 (신월동 우창아파트),2604-6952       ,신월4동 복개도로변 걷고싶은거리 입구,영업시간 :24시간 좌 석 수 :16석 휴 무 일 :무 배    달 : 예    약 : 카    드 :가능 주    차 :가능 홈페이지 주소 : 전자우편주소 : ,저렴한 가격과 정성어린 맛 집에서 드시는 음식처럼 청결하고 맛있는음식으로 드리려 노력합니다. 타업소보다 20% 저렴한가격으로 모십니다.,101,21-2,http://tearstop.seoul.go.kr/mulga/photo/00003906.JPG,37.52069932,126.8417514,양천구,신월동,양천구 신월동 보라매25시해장국,1985770038
8,8265,해피분식,1,한식,서울특별시 구로구 중앙로1길 18-19 (고척동 우성현대아파트),02-2688-1242,고척중학교 정문 앞 현대우성아파트 상가에 위치합니다.,영업시간 : 8:00~21:00 좌석수 : 22석(야외 4석) 휴무일 : 매주 일요일 배달 : 가능 예약 : 가능 카드 : 가능 주차 : 가능 홈페이지 주소 : X 전자우편주소 : pyjong57@hanmail.net 기타 : 분식도 함께함(여름엔 직접 갈아 만든 국산 콩국수 판매)   ,#NAME?,75,21-2,http://tearstop.seoul.go.kr/mulga/photo/20120706153533.JPG,37.49857739,126.8631491,구로구,고척동,구로구 고척동 해피분식,20880249
9,5959,금강숯불생고기,1,한식,서울특별시 광진구 용마산로7길 9 (중곡동),3437-9599       ,구 중곡2동사무소 뒤,영업시간 : 11:00~23:00 좌석수 : 40 휴무일 : 무 배달 : 예약 : 카드 : 주차 : 홈페이지 주소 : 전자우편주소 :    ,타 업소에 비해 가격이 저렴함,65,21-2,http://tearstop.seoul.go.kr/mulga/photo/금강숯불생고기.JPG,37.55898562,127.0870897,광진구,중곡동,광진구 중곡동 금강숯불생고기,18800486
